Åìî‘çÜ,ÅFéÊìæì˙ïtÅiêÌó™ï™êÕópÅj,ÅñéÊìæì˙ïtÅiÉOÉâÉtópÅj,Åìè§ïiñº,ÅñAmazonéÊÇËàµÇ¢äJénì˙,Åìèoïié“,Åìè§ïiè⁄ç◊URL,Åìèdï°,ÅìçÄî‘,ÅìêØ,É^ÉCÉgÉã,Åììäçeé“,ÅñÉåÉrÉÖÅ[ì˙ït,ÉåÉrÉÖÅ[ì‡óe
1,2017/04/05 21:38:30,2017/4/5,"Lieyang Hot Air Quad Cylinder Stirling Engine Model Electric Power Generator Group M16-V4-D",,"Lieyang",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_toys-and-games_sr_pg1_1?ie=UTF8&adId=A06017631JDBQ9X4AV863&url=https%3A%2F%2Fwww.amazon.com%2FLieyang-Cylinder-Stirling-Electric-Generator%2Fdp%2FB01AGRIIK0%2Fref%3Dsr_1_1%3Fs%3Dtoys-and-games%26ie%3DUTF8%26qid%3D1491395898%26sr%3D1-1-spons%26keywords%3Dmodel%26psc%3D1&qualifier=1491395898&id=5264191806496815&widgetName=sp_atf,0,1,5,"Great well built Stirling Engine","Dag",2016/11/20,"Build quality on this is very good. Especially at 8 pounds. The base is made of plastic not wood, which I didn't know would be good quality. I can tell you Lieyang used a very good quality plastic on this.
Remember the old rotary telephone. With that kind of polymer that was indestructible....it's like that.
It's called Bakelite....... I believe .......
The metal build is done well. Nice and solid..
Had no problem getting it running.....Cut you wicks to size. Insert into the 4 reservoirs fill with alcohol...
Light wait about 30 sec to a min.....one turn.....and off it goes......used 91% alcohol worked fine....
Also well packaged used two boxes one inside the other.....
Very happy with purchase..........."
2,2017/04/05 21:38:30,2017/4/5,"Lieyang Hot Air Quad Cylinder Stirling Engine Model Electric Power Generator Group M16-V4-D",,"Lieyang",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_toys-and-games_sr_pg1_1?ie=UTF8&adId=A06017631JDBQ9X4AV863&url=https%3A%2F%2Fwww.amazon.com%2FLieyang-Cylinder-Stirling-Electric-Generator%2Fdp%2FB01AGRIIK0%2Fref%3Dsr_1_1%3Fs%3Dtoys-and-games%26ie%3DUTF8%26qid%3D1491395898%26sr%3D1-1-spons%26keywords%3Dmodel%26psc%3D1&qualifier=1491395898&id=5264191806496815&widgetName=sp_atf,0,2,5,"Wonderfull","jpdanguy",2016/12/28,"WOW !!!"
3,2017/04/05 21:38:31,2017/4/5,"Lieyang Hot Air Quad Cylinder Stirling Engine Model Electric Power Generator Group M16-V4-D",,"Lieyang",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_toys-and-games_sr_pg1_1?ie=UTF8&adId=A06017631JDBQ9X4AV863&url=https%3A%2F%2Fwww.amazon.com%2FLieyang-Cylinder-Stirling-Electric-Generator%2Fdp%2FB01AGRIIK0%2Fref%3Dsr_1_1%3Fs%3Dtoys-and-games%26ie%3DUTF8%26qid%3D1491395898%26sr%3D1-1-spons%26keywords%3Dmodel%26psc%3D1&qualifier=1491395898&id=5264191806496815&widgetName=sp_atf,0,3,5,"Five Stars","JOHN K. VAUGHAN",2016/05/22,"Great!"
4,2017/04/05 21:38:37,2017/4/5,"autvivid Retro Cartridges Tank Scale Model Bullets",2016/10/19,"AUTVIVID",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_toys-and-games_sr_pg1_2?ie=UTF8&adId=A03979003MERCXAVKNH6J&url=https%3A%2F%2Fwww.amazon.com%2Fautvivid-Retro-Cartridges-Scale-Bullets%2Fdp%2FB01M6YX64F%2Fref%3Dsr_1_2%3Fs%3Dtoys-and-games%26ie%3DUTF8%26qid%3D1491395898%26sr%3D1-2-spons%26keywords%3Dmodel%26psc%3D1&qualifier=1491395898&id=5264191806496815&widgetName=sp_atf,0,,,"","",,""
5,2017/04/05 21:38:46,2017/4/5,"FUBARBAR 1:24 Metal Car Alloy Transport Truck Clean Garbage Truck Model",,"FUBARBAR",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_toys-and-games_sr_pg1_3?ie=UTF8&adId=A0576979F5S7L58IBIUZ&url=https%3A%2F%2Fwww.amazon.com%2FFUBARBAR-Metal-Alloy-Transport-Garbage%2Fdp%2FB01N0E4AOO%2Fref%3Dsr_1_3%3Fs%3Dtoys-and-games%26ie%3DUTF8%26qid%3D1491395898%26sr%3D1-3-spons%26keywords%3Dmodel%26psc%3D1&qualifier=1491395898&id=5264191806496815&widgetName=sp_atf,0,1,1,"This is not 1: 24 scale. False advertisement ...","Michelle Huntley",2017/01/29,"This is not 1:24 scale. False advertisement."
6,2017/04/05 21:38:46,2017/4/5,"FUBARBAR 1:24 Metal Car Alloy Transport Truck Clean Garbage Truck Model",,"FUBARBAR",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_toys-and-games_sr_pg1_3?ie=UTF8&adId=A0576979F5S7L58IBIUZ&url=https%3A%2F%2Fwww.amazon.com%2FFUBARBAR-Metal-Alloy-Transport-Garbage%2Fdp%2FB01N0E4AOO%2Fref%3Dsr_1_3%3Fs%3Dtoys-and-games%26ie%3DUTF8%26qid%3D1491395898%26sr%3D1-3-spons%26keywords%3Dmodel%26psc%3D1&qualifier=1491395898&id=5264191806496815&widgetName=sp_atf,0,2,1,"Not 1: 24 scale. Got it for my ...","Jose",2016/12/28,"Not 1:24 scale. Got it for my dads car collection and this is a much smaller scale."
7,2017/04/05 21:38:58,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,1,5,"Great Value Do All Enamel Kit! Love Testors Paints!!!","RideOrDieGuy",2016/03/13,"This is a Great Value! There is no way you will find a better price on this many colors, a free brush and tray anywhere...even locally at craft/hobbie stores. In fact, those prices are nearly double in some circumstances. I bought this for some odd projects like highlighting gun sights and the punch marks in my wrenches so that I can see the tool size easily from a distance or in bad light situations.

I have used these ENAMEL PAINTS since I think I was 8 years old and I am now in my mid 30s and they are still the go to choice for me for when I need durability and a quality job that I dont want to redo for a long long time. This is a quality set and you get a ton of colors and enough colors to make your own custom colors by mixing colors in the kit. Google it to find out what red and yellow make! lol

Anyway, great kit, great contents, great longevity and theres not much more to say. If you need a durable finish or want to paint something that wont rub off easily then these are for you. I love enamel....acrylic...ick!!!"
8,2017/04/05 21:38:58,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,2,5,"Best of all it had no affect on the curing ...","Pescador Viejo",2017/03/27,"This is the classic Testors enamel we all used for model building as kids. However I bought it for a different purpose this time. I quit building models decades ago but now build custom fishing rods. I was looking for an economical was to add pigments to my epoxy in place of expensive marbling pigments. These enamels mixed with my epoxy and created exactly the effects I was seeking. Best of all it had no affect on the curing of the epoxy."
9,2017/04/05 21:38:59,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,3,1,"Terrible! Tried painting a styrene model mustang kit","Rich of California",2017/03/26,"Terrible! Tried painting a styrene model mustang kit. so far the black paint is very splotchy and doesn't cover well at all. Very disappointed. I went online to see if this was the wrong type of paint for styrene, but it seems enamel is widely used for that. Maybe it is just too old for proper use. I will try another coat before I give up, but I am not impressed."
10,2017/04/05 21:38:59,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,4,5,"Beautiful finish.","Chuck",2016/03/10,"This is not our old blotchy model paint. It self-levels and dries beautifully. Very high gloss when needed. This pic is one coat."
11,2017/04/05 21:38:59,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,5,5,"Great for car models","Nithious",2016/07/23,"Great colors you can get almost any color if you know how to mix them well"
12,2017/04/05 21:38:59,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,6,5,"Great paint set for the price","Faith N",2014/05/17,"Loved this set of paint. All the colors we needed for our PWD cars were included. I wouldn't advise this for big car models but it definitely did the job for what we needed. Cheapest price we found after pricing around. Very pleased!"
13,2017/04/05 21:38:59,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,7,5,"Testors Promotional Enamel Paint Set","deb t",2015/06/06,"It's been years since I painted model planes, but Testors is still the oil-based enamel paint to use. I bought this promotional set to paint small hockey game players. The paint is outstanding. Instead of using the enclosed solvent, I use my own paint solvent from the garage and pour some into a glass holder (like the ones used in restaurants to hold au jus or horseradish for your prime rib) The paint brushes on very nicely and smoothly, but because solvent evaporates very quickly from the paint brushes and on the model, try to paint your model just once and don't repeatedly go over the same area because you will lift the paint. Wait until the paint is dry before brushing it over. This is especially true if you want to cover up so boo boos. If you paint over another area before it is dry and set, the solvent in the fresh paint will lift the original paint off causing it to mix it in with your fresh paint, and voila, you just created a new paint color. If you make any painting mistakes, don't worry, solvent comes to the rescue. The paint will cover other colors usually in one stroke. Changed some color areas may require two separate coats. Be sure to stir up the paint with a toothpick before using. The gold and silver paints have to be stir frequently because the metallic flakes separates rather quickly. But once stirred, the metallic paint paints on evenly and looks very nice. I used only 1/3 or less of the paint in each bottle, so there are enough paint to paint several small model planes.

Although I wore nitril gloves will painting, if you get paint of your fingers and hand, take a clean brush and dab it in some clean solvent (of dirty solvent) and brush it on your fingers and immediately wipe it off with a paper towel. This will also work easily on dried paint. Wash your hands with soap and water and you ready to go out dancing"
14,2017/04/05 21:39:00,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,8,5,"Good quality enamel.","Sean B.",2017/03/28,"High quality enamel. Since receiving it, I have thinned it down to use with my airbrush as well as brush painting for props and costume pieces. I trust Testors product quality and I will continue to purchase."
15,2017/04/05 21:39:00,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,9,5,"Happy Customer","Jenny Bynum",2015/11/05,"This product came quickly and in excellent condition. It is part of a Christmas present for my boyfriend and I am very pleased. Thank you"
16,2017/04/05 21:39:00,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,10,4,"Good","bluezman714",2017/03/20,"Great colors. They cover well & quickly. I'd buy them again as a starter kit"
17,2017/04/05 21:39:04,2017/4/5,"Testors Promotional Enamel Paint Set",,"Testors",https://www.amazon.com/Testors-Promotional-Enamel-Paint-Set/dp/B00005C2KF/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1491395898&sr=1-4&keywords=model,0,11,5,"Works for what it's intended to as it has for generations","Raggedy",2017/03/17,"Works for what it's intended to as it has for generations"
